parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-119.64037224738311,119.64037224738311,"(-119.64, 119.64)",True
S1,-349.0025939969261,349.0025939969261,"(-349.00, 349.00)",True
M0,-26.45021563802901,26.45021563802901,"(-26.45, 26.45)",True
M1,-25.411525157760966,25.411525157760966,"(-25.41, 25.41)",True
M2,-53.63873454414015,53.63873454414015,"(-53.64, 53.64)",True
M3,-42.877977761589804,42.877977761589804,"(-42.88, 42.88)",True
M4,-8.003589664797651,8.003589664797651,"(-8.00, 8.00)",True
M5,-24.39235533388954,24.39235533388954,"(-24.39, 24.39)",True
M6,-52.90043127605802,52.90043127605802,"(-52.90, 52.90)",True
M7,-27.260727950895927,27.260727950895927,"(-27.26, 27.26)",True
T0,-1.3930622147784166,1.3930622147784166,"(-1.39, 1.39)",True
T1,-0.5876974561016595,0.5876974561016594,"(-0.59, 0.59)",True
T2,-1.873718077067196,1.873718077067196,"(-1.87, 1.87)",True
T5,-3.5615993231876297,3.5615993231876257,"(-3.56, 3.56)",True
T6,-2.354687447421074,2.354687447421074,"(-2.35, 2.35)",True
T7,-6.640450288721937,6.6404502887219286,"(-6.64, 6.64)",True
T8,0,0,"(0.00, 0.00)",False
T9,0,0,"(0.00, 0.00)",False
