parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-167.55177950942632,167.55177950942632,"(-167.55, 167.55)",True
S1,-251.59513166731023,251.59513166731023,"(-251.60, 251.60)",True
M0,-22.5939472981143,22.5939472981143,"(-22.59, 22.59)",True
M1,-32.60861927036861,32.60861927036861,"(-32.61, 32.61)",True
M2,-44.051177579041365,44.051177579041365,"(-44.05, 44.05)",True
M3,-60.017378820789325,60.017378820789325,"(-60.02, 60.02)",True
M4,-8.348001539322206,8.348001539322206,"(-8.35, 8.35)",True
M5,-23.258687088668044,23.258687088668044,"(-23.26, 23.26)",True
M6,-45.1878945962286,45.1878945962286,"(-45.19, 45.19)",True
M7,-33.024653140192896,33.024653140192896,"(-33.02, 33.02)",True
T0,-1.2530778388650714,1.2530778388650714,"(-1.25, 1.25)",True
T1,-0.6384111214983793,0.6384111214983791,"(-0.64, 0.64)",True
T2,-1.8886348739366825,1.8886348739366825,"(-1.89, 1.89)",True
T5,-3.1423000345194487,3.1423000345194456,"(-3.14, 3.14)",True
T6,-2.6503382197627183,2.6503382197627183,"(-2.65, 2.65)",True
T7,-6.739889526776875,6.739889526776868,"(-6.74, 6.74)",True
T8,0,0,"(0.00, 0.00)",False
T9,0,0,"(0.00, 0.00)",False
