parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-102.53182320023514,102.53182320023514,"(-102.53, 102.53)",True
S1,-184.48396681865296,184.48396681865296,"(-184.48, 184.48)",True
M0,-13.924904391444763,13.924904391444763,"(-13.92, 13.92)",True
M1,-20.43079323753991,20.43079323753991,"(-20.43, 20.43)",True
M2,-24.17095094793087,24.17095094793087,"(-24.17, 24.17)",True
M3,-39.896337597422296,39.896337597422296,"(-39.90, 39.90)",True
M4,-4.8357371208742155,4.8357371208742155,"(-4.84, 4.84)",True
M5,-17.316361193460317,17.316361193460317,"(-17.32, 17.32)",True
M6,-27.849808782889525,27.849808782889525,"(-27.85, 27.85)",True
M7,-23.22274510462286,23.22274510462286,"(-23.22, 23.22)",True
T0,-0.9577185980610994,0.9577185980610975,"(-0.96, 0.96)",True
T1,-0.45870518233486157,0.45870518233486157,"(-0.46, 0.46)",True
T2,-1.366933497820439,1.3669334978204386,"(-1.37, 1.37)",True
T5,-2.2893675356344025,2.289367535634399,"(-2.29, 2.29)",True
T6,-1.9184710847263298,1.9184710847263298,"(-1.92, 1.92)",True
T7,-4.761808386014967,4.761808386014961,"(-4.76, 4.76)",True
T8,0,0,"(0.00, 0.00)",False
T9,0,0,"(0.00, 0.00)",False
