parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-79.24751342919097,79.24751342919097,"(-79.25, 79.25)",True
S1,-33.76526932976699,33.76526932976699,"(-33.77, 33.77)",True
M0,-0.6323673016882952,0.6323673016882952,"(-0.63, 0.63)",True
M1,-4.913584843428219,4.913584843428219,"(-4.91, 4.91)",True
M2,-0.9070366561533253,0.9070366561533253,"(-0.91, 0.91)",True
M3,-8.134661101475011,8.134661101475011,"(-8.13, 8.13)",True
M4,-3.6026298065695705,3.6026298065695705,"(-3.60, 3.60)",True
M5,-15.4142126182601,15.4142126182601,"(-15.41, 15.41)",True
M6,-1.2647346033765905,1.2647346033765905,"(-1.26, 1.26)",True
M7,-9.261093086315482,9.261093086315482,"(-9.26, 9.26)",True
T0,-0.21961020521120755,0.21961020521120653,"(-0.22, 0.22)",True
T1,-0.40799893659237635,0.40799893659237635,"(-0.41, 0.41)",True
T2,-0.6537346679641505,0.6537346679641505,"(-0.65, 0.65)",True
T5,-0.7366194300072587,0.736619430007255,"(-0.74, 0.74)",True
T6,-3.141719937046479,3.141719937046479,"(-3.14, 3.14)",True
T7,-2.89379794476741,2.893797944767402,"(-2.89, 2.89)",True
T8,0,0,"(0.00, 0.00)",False
T9,0,0,"(0.00, 0.00)",False
